code,code_display,parent_code,level,name,domain,category,sort_order,is_leaf,status,note
11,11,,1,健康,健康,,11,FALSE,active,
1101,11-01,11,2,健康な心と体,健康,健康な心と体,1101,FALSE,active,
1101001,11-01-001,1101,3,主体的・充実感ある遊び,健康,健康な心と体,1101001,TRUE,active,
1101002,11-01-002,1101,3,のびのびと心身を動かす遊び,健康,健康な心と体,1101002,TRUE,active,
1101003,11-01-003,1101,3,見通しをもった計画的な遊び,健康,健康な心と体,1101003,TRUE,active,
1101004,11-01-004,1101,3,健康と安全を育む遊び習慣,健康,健康な心と体,1101004,TRUE,active,
21,21,,1,人間関係,人間関係,,21,FALSE,active,
2101,21-01,21,2,自立心,人間関係,自立心,2101,FALSE,active,
2101001,21-01-001,2101,3,主体的な環境への参加,人間関係,自立心,2101001,TRUE,active,
2101002,21-01-002,2101,3,しなければならないことの自覚,人間関係,自立心,2101002,TRUE,active,
2101003,21-01-003,2101,3,自力で考え工夫する力,人間関係,自立心,2101003,TRUE,active,
2101004,21-01-004,2101,3,諦めずにやり遂げる力,人間関係,自立心,2101004,TRUE,active,
2101005,21-01-005,2101,3,達成感の獲得,人間関係,自立心,2101005,TRUE,active,
2101006,21-01-006,2101,3,自信をもった行動,人間関係,自立心,2101006,TRUE,active,
2102,21-02,21,2,協同性,人間関係,協同性,2102,FALSE,active,
2102001,21-02-001,2102,3,友達と思いや考えを共有,人間関係,協同性,2102001,TRUE,active,
2102002,21-02-002,2102,3,友達との共通目的の形成,人間関係,協同性,2102002,TRUE,active,
2102003,21-02-003,2102,3,協働的な思考と工夫,人間関係,協同性,2102003,TRUE,active,
2102004,21-02-004,2102,3,協力して行動する力,人間関係,協同性,2102004,TRUE,active,
2102005,21-02-005,2102,3,友達と充実感持った達成,人間関係,協同性,2102005,TRUE,active,
2103,21-03,21,2,道徳性・規範意識の芽生え,人間関係,道徳性・規範意識の芽生え,2103,FALSE,active,
2103001,21-03-001,2103,3,善悪の判断,人間関係,道徳性・規範意識の芽生え,2103001,TRUE,active,
2103002,21-03-002,2103,3,行動の振り返り,人間関係,道徳性・規範意識の芽生え,2103002,TRUE,active,
2103003,21-03-003,2103,3,共感と他者視点,人間関係,道徳性・規範意識の芽生え,2103003,TRUE,active,
2103004,21-03-004,2103,3,規範の必要性の理解,人間関係,道徳性・規範意識の芽生え,2103004,TRUE,active,
2103005,21-03-005,2103,3,感情調整と折り合い,人間関係,道徳性・規範意識の芽生え,2103005,TRUE,active,
2103006,21-03-006,2103,3,ルールの創出と遵守,人間関係,道徳性・規範意識の芽生え,2103006,TRUE,active,
2104,21-04,21,2,社会生活との関わり,人間関係,社会生活との関わり,2104,FALSE,active,
2104001,21-04-001,2104,3,家族を大切にする気持ち,人間関係,社会生活との関わり,2104001,TRUE,active,
